weight_decay,pool_size,loss_type,learning_rate,gru_num_layers,gru_hidden_size,dropout_rate,cnn_kernel_sizes,cnn_filters,batch_size,channel_dropout_p,magnitude_scale_range,target_transform,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.001,4,huber,0.0005,3,128,0.3,"[32, 5, 3]","[64, 128, 256]",128,0.5,"(0.5, 2.0)",sqrt,0.46391427662196244,0.645146885667639,0.8032103620270589,0.8015208453381634,39,3.203508901090944,0.041348281520004256,376.13312816619873,51
0.0001,4,mse,0.001,1,128,0.5,"[64, 5, 3]","[64, 128, 256]",32,0.15,"(0.3, 3.0)",log1p,0.43573958897724224,0.648995434521288,0.8056025288697201,0.8003368409817654,39,2.9939135099331255,0.05205379144056095,346.55663299560547,35
0.0001,4,mae,0.001,1,192,0.5,"[64, 5, 3]","[64, 128, 256]",128,0.15,"(0.5, 2.0)",none,0.4399249755714948,0.6528468415163993,0.8079893820567194,0.799151957319408,43,1.8951801895689127,0.4409431647886755,441.41457986831665,29
0.0005,4,huber,0.0005,3,128,0.3,"[64, 5, 3]","[64, 128, 256]",128,0.5,"(0.5, 2.0)",log1p,0.4957336749245783,0.6777337475662838,0.8232458609469493,0.7914955116561574,24,2.9755125893182948,0.03260009085000647,269.71503734588623,13
0.0005,4,huber,0.001,2,128,0.5,"[64, 5, 3]","[32, 64, 128]",128,0.25,"(0.5, 2.0)",sqrt,0.49997702899732793,0.6947909032070296,0.8335411826700764,0.7862478852508821,21,3.901512444537827,0.06264267224741085,207.05079293251038,26
0.0005,4,mae,0.002,2,128,0.5,"[64, 5, 3, 3]","[64, 128, 256, 256]",128,0.5,"(0.3, 3.0)",log1p,0.48143956507067687,0.7040347329960005,0.8390677761635233,0.7834040250957577,36,1.547847295535743,0.1603852938459499,374.2740230560303,47
0.005,4,mae,0.0005,1,192,0.5,"[32, 5, 3]","[64, 128, 256]",64,0.15,"(0.3, 3.0)",log1p,0.47769578237405774,0.7079853637173124,0.8414186613792877,0.7821886152978237,27,1.714315292799274,0.16358953992188988,234.17768359184265,44
0.001,4,mae,0.002,3,192,0.7,"[32, 5, 3]","[64, 128, 256]",128,0.5,"(0.3, 3.0)",sqrt,0.4978452157700263,0.7277848194685288,0.8531030532523775,0.7760973214737837,23,1.3881858680246795,0.21552500756353243,239.5729205608368,24
0.0001,4,mae,0.002,2,192,0.5,"[64, 5, 3, 3]","[64, 128, 256, 256]",32,0.15,"(0.5, 2.0)",sqrt,0.5251520979599823,0.8584317144296825,0.9265159007970033,0.7359038618955842,35,1.4765814942421887,0.20066220321571113,300.1400046348572,22
0.01,4,mse,0.001,3,192,0.7,"[64, 5, 3, 3]","[64, 128, 256, 256]",32,0.35,"(0.5, 2.0)",sqrt,0.558686039906113,0.9024708624668291,0.9499846643324454,0.7223552374371482,23,3.061696093210038,0.15133862835830436,224.02708435058594,19
0.001,4,huber,0.001,3,128,0.7,"[32, 5, 3]","[32, 64, 128]",32,0.25,"(0.3, 3.0)",sqrt,0.5677556119804666,0.9566966166135155,0.9781086936601247,0.7056727081046275,19,3.640181934341536,0.079424427318295,188.8666956424713,3
0.0005,4,huber,0.0005,2,192,0.7,"[64, 5, 3, 3]","[64, 128, 256, 256]",64,0.25,"(0.5, 2.0)",none,0.6910163322495202,1.019242073456513,1.0095751945528937,0.6864306259092064,26,2.8657250269213623,0.3772345370884472,238.18368124961853,32
0.01,4,huber,0.0005,1,128,0.6,"[64, 5, 3, 3]","[64, 128, 256, 256]",128,0.35,"(0.3, 3.0)",log1p,0.5851375269196095,1.0521295869403873,1.025733682268642,0.6763127968996872,64,2.4364387076727976,0.040488004534548865,650.9890973567963,31
0.01,4,huber,0.001,1,256,0.6,"[64, 5, 3]","[32, 64, 128]",64,0.25,"(0.3, 3.0)",log1p,0.5848424020715844,1.0949374582834388,1.0463925928079951,0.6631429741728071,56,4.438958164123111,0.042640385804744156,446.16664242744446,41
0.01,4,mae,0.001,2,256,0.7,"[64, 5, 3]","[64, 128, 256]",32,0.15,"(0.3, 3.0)",sqrt,0.600918852670761,1.1399512215098648,1.067684982337892,0.6492945097815028,31,2.0706003119959897,0.2357017758778437,339.81319999694824,37
0.0005,4,mae,0.002,1,128,0.6,"[64, 5, 3]","[32, 64, 128]",128,0.15,"(0.5, 2.0)",sqrt,0.6296817802045933,1.16366106876932,1.0787312310160118,0.6420001857356726,24,2.232864939842836,0.27688705059803564,218.90060949325562,58
0.001,4,huber,0.0005,2,256,0.6,"[32, 5, 3]","[32, 64, 128]",32,0.5,"(0.3, 3.0)",none,0.6600678674547524,1.1762078041342299,1.08453114484289,0.6381401881377365,20,2.4053570581523545,0.41636066340509154,202.86947917938232,49
0.001,4,huber,0.0005,2,192,0.7,"[32, 5, 3]","[64, 128, 256]",32,0.35,"(0.5, 2.0)",sqrt,0.6185032543105365,1.238901029031498,1.1130593106530746,0.6188526451656318,53,4.32201890222893,0.07442065588802353,508.6960732936859,14
0.0005,4,mae,0.0005,1,128,0.6,"[64, 5, 3, 3]","[64, 128, 256, 256]",128,0.5,"(0.5, 2.0)",none,0.686671647570392,1.243497204093847,1.1151220579352947,0.6174386339360669,22,1.7339678256464393,0.7153144380203763,197.92327046394348,27
0.001,4,huber,0.002,1,128,0.7,"[64, 5, 3]","[32, 64, 128]",128,0.35,"(0.5, 2.0)",none,0.6966721345369218,1.3734892512424914,1.1719595774780338,0.5774466379983907,21,2.905400067813714,0.4457387349891012,179.86185431480408,7
0.01,4,mae,0.002,1,256,0.7,"[64, 5, 3]","[32, 64, 128]",64,0.15,"(0.5, 2.0)",none,0.7344838870629331,1.4398948610104814,1.1999561912880325,0.5570169814591441,20,2.6575240122648602,0.7367376140861795,164.65616965293884,48
0.001,4,huber,0.001,1,128,0.7,"[64, 5, 3]","[32, 64, 128]",64,0.35,"(0.3, 3.0)",none,0.7632740479669511,1.6630011548266201,1.2895740206853659,0.48837842862704484,22,3.3458926767160113,0.5312960273531026,182.1091706752777,50
0.005,4,huber,0.0005,1,192,0.7,"[32, 5, 3]","[32, 64, 128]",64,0.35,"(0.5, 2.0)",none,0.83089109461966,1.8920402487236445,1.3755145396264064,0.4179146524683023,26,4.003855018115455,0.5857273447782474,194.2176833152771,59
