weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.001,2,2,4,8,0.0005,0.5,2048,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30165315812779203,0.3262639365546911,0.571195182538063,0.9122675714530978,1634818,25,,,201.8439440727234,18
0.005,3,3,4,8,0.001,0.4,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30610307258606756,0.3272225942014181,0.5720337351952401,0.9120097882473271,1636482,21,,,206.99908828735352,35
0.01,2,4,4,8,0.0003,0.5,512,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.303156564907458,0.328087275422366,0.5727890322120056,0.9117772753185808,3248770,22,,,248.18899297714233,36
0.005,3,3,2,8,0.0005,0.6,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3089134839968134,0.3282139106100426,0.5728995641559196,0.911743223094876,1636482,28,1.4142564909520547,0.3594472769186717,208.31150078773499,65
0.01,3,3,2,8,0.0005,0.4,1024,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3222583161743172,0.32971378781012955,0.5742070948796519,0.9113399058582996,4859138,25,,,266.14006304740906,132
0.01,4,2,4,8,0.0003,0.6,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3027778584264716,0.3300214675440307,0.5744749494486515,0.9112571707250365,1638146,42,,,362.53170371055603,140
0.001,4,4,2,8,0.0003,0.5,512,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3717718350442611,0.33455335261532193,0.5784058718714065,0.9100385460514107,3248770,28,1.4936727261906264,0.3355073533913111,299.2512216567993,134
0.01,2,2,2,8,0.0003,0.5,2048,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30241818518030045,0.335688120837402,0.5793859860554119,0.909733406681696,2208898,36,2.168870551516687,0.38216263098392106,245.06250190734863,9
0.01,4,4,4,8,0.0003,0.5,2048,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30317750269232707,0.3359638369110406,0.5796238753804407,0.9096592665821644,3217154,31,,,326.8316912651062,116
0.001,2,2,4,8,0.0003,0.5,2048,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.31935666551457165,0.3386048670366506,0.5818976430925379,0.9089490931280215,1634818,22,,,142.68889546394348,103
0.001,2,3,4,8,0.0003,0.6,2048,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3089061093373309,0.34091344062654255,0.5838779329847485,0.9083283172934037,3279266,35,,,324.04919242858887,136
0.005,4,2,2,8,0.0003,0.6,1024,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.31413313370860346,0.34627073760788696,0.5884477356638285,0.9068877392154722,3034818,45,2.6662803202338963,0.39292330089495403,472.4362406730652,92
0.01,3,4,4,8,0.0005,0.5,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3302436040543741,0.3487104509423736,0.5905171046992403,0.9062316998810209,4349634,24,,,347.84177255630493,3
0.01,3,4,4,8,0.0005,0.5,1024,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.2975646114256806,0.35307726706211373,0.5942030520471211,0.9050574622768034,6438402,26,,,396.4969766139984,46
0.01,3,4,2,8,0.0003,0.4,2048,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32512831857887675,0.3552130898267126,0.5959975585744565,0.9044831391687617,8539650,32,2.2441188354277166,0.3584214524664292,452.88329577445984,141
0.001,2,4,4,8,0.0003,0.6,2048,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3101529158298136,0.35741648010215626,0.5978431902281369,0.903890647145455,4349634,36,2.1725256931959374,0.385211472994657,432.14891362190247,81
0.001,4,4,4,8,0.0003,0.6,2048,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.30157294981786387,0.36268489898727263,0.6022332596156348,0.9024739684028562,5614210,33,,,491.4931423664093,80
0.005,3,3,2,8,0.0005,0.5,512,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32349272261709755,0.36300411809835564,0.6024982307844196,0.9023881303290879,4071170,23,,,222.56524109840393,130
0.001,4,4,2,8,0.001,0.5,512,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3563997949745453,0.3636065881939345,0.6029980001574918,0.9022261260169652,3248770,21,,,285.9417390823364,21
