weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.01,3,3,2,8,0.0005,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.1,0.8,0.1,"(0.8, 1.2)","(0.8, 1.2)",0.29318348419362233,0.29768787169019867,0.5456078002468427,0.919951680200604,23,5.2635269658927015,0.30737208329023763,145.9057264328003,165
0.001,3,3,2,8,0.0005,0.4,1024,128,64,ReduceLROnPlateau,0.1,1.0,0.1,0.5,0.05,"(0.9, 1.1)","(0.8, 1.2)",0.3154622230047538,0.29772237612983365,0.5456394195160699,0.9199424019508631,19,5.342800674124078,0.3027943579576468,197.45540833473206,6
0.005,3,3,2,8,0.001,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.8,0.1,0.8,0.1,"(0.8, 1.2)","(0.8, 1.2)",0.3038366398012513,0.2981987626272177,0.5460757846922144,0.9198143015399387,19,,0.3030056685231632,174.628986120224,122
0.0001,3,3,2,8,0.001,0.4,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.25,0.5,0.1,"(0.8, 1.2)","(0.8, 1.2)",0.33564980238546405,0.29821341640071986,0.5460892018715623,0.9198103611377285,21,,0.298209851739868,159.93568921089172,152
0.001,3,3,2,8,0.0005,0.2,1024,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.8,0.01,"(0.9, 1.1)","(0.7, 1.3)",0.30463759085359376,0.29832579612766763,0.5461920872071176,0.9197801422098608,21,6.122747551999832,0.3033920807960958,148.1574604511261,166
0.0001,3,3,2,8,0.0005,0.2,1024,128,64,ReduceLROnPlateau,0.1,0.5,0.1,0.2,0.01,"(0.5, 2.0)","(0.7, 1.3)",0.29714677263345834,0.2987222048933692,0.5465548507637356,0.9196735478247151,21,10.083497012124909,0.30149609982207226,160.27514719963074,216
0.001,3,3,2,8,0.001,0.5,1024,128,128,ReduceLROnPlateau,0.1,1.0,0.25,0.5,0.05,"(0.5, 2.0)","(0.9, 1.1)",0.28968327660741255,0.29965720647991445,0.547409541823957,0.9194221257375882,21,3.7371439619479903,0.32676557375359877,172.73938846588135,119
0.005,3,3,2,8,0.001,0.4,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.4,0.2,0.1,"(0.8, 1.2)","(0.7, 1.3)",0.30439108721262426,0.30048409296549805,0.5481642937710355,0.9191997758196692,19,,0.31021458907451116,119.92802166938782,36
0.001,3,3,2,8,0.0005,0.3,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.4,0.8,0.05,"(0.9, 1.1)","(0.8, 1.2)",0.3370132906532386,0.3006427872552188,0.5483090253271587,0.9191571028979214,17,3.609619104165177,0.30070546751552657,243.9537661075592,59
0.001,3,3,2,8,0.001,0.4,1024,128,32,ReduceLROnPlateau,0.1,0.8,0.25,0.2,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.29914478439584496,0.3014270936011119,0.5490237641497059,0.9189462027868746,19,,0.35000991559820077,224.8873906135559,187
0.0001,3,3,2,8,0.0005,0.5,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.4,0.8,0.1,"(0.5, 2.0)","(0.8, 1.2)",0.3133754010213915,0.30271516369527074,0.5501955685892705,0.9185998405174417,17,,0.33082017883021225,223.3860306739807,23
0.005,3,3,2,8,0.001,0.3,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.1,0.2,0.05,"(0.8, 1.2)","(0.8, 1.2)",0.3647963924485986,0.30304510045112015,0.5504953228240184,0.918511120467156,17,,0.3030512239719725,228.7951214313507,113
0.001,3,3,2,8,0.001,0.3,1024,128,32,ReduceLROnPlateau,0.1,1.0,0.25,0.8,0.01,"(0.5, 2.0)","(0.8, 1.2)",0.3467214465531655,0.30305529595610053,0.5505045830473172,0.9185083788941165,17,,0.30304861758449253,212.70381665229797,62
