iteration,n_categories,n_features,rmse,mae,r2,total_params,training_time,epochs_trained,toggle_EMG_BW,toggle_EMG_HjComp,toggle_EMG_HjMob,toggle_EMG_IEMG,toggle_EMG_Kurt,toggle_EMG_LogDet,toggle_EMG_MAV,toggle_EMG_MDF,toggle_EMG_MNF,toggle_EMG_Myopulse,toggle_EMG_PeakFreq,toggle_EMG_Power,toggle_EMG_RMS,toggle_EMG_SSC,toggle_EMG_Skew,toggle_EMG_SpecEntropy,toggle_EMG_VAR,toggle_EMG_WAMP,toggle_EMG_WL,toggle_EMG_ZC,toggle_IMU_DomFreq,toggle_IMU_Jerk,toggle_IMU_Kurt,toggle_IMU_MNF,toggle_IMU_Max,toggle_IMU_Mean,toggle_IMU_P2P,toggle_IMU_SMA,toggle_IMU_SVM_Mean,toggle_IMU_Skew,toggle_IMU_SpecEnergy,toggle_IMU_Std,toggle_IMU_Var
61,12,112,0.5147278910896352,0.29234209002876915,0.9287562972972067,1350402,150.79377937316895,22,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
123,19,176,0.5149362542887659,0.28125859692914096,0.9286986063477568,1358594,195.74517846107483,28,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1
114,17,160,0.5149845685472084,0.29763563139073757,0.9286852259126431,1356546,179.7068808078766,26,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1
117,17,164,0.5152836964287871,0.28301990398963034,0.9286023557297385,1357058,152.1139726638794,22,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1
115,17,160,0.5154547834654744,0.29320568557219984,0.9285549362621841,1356546,156.49299216270447,22,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0
129,16,152,0.5162940760483413,0.2918657365047833,0.9283220850720201,1355522,149.01024556159973,21,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1
17,23,224,0.5168646591456043,0.3324414251399774,0.928163567638032,1364738,186.64784336090088,26,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
16,20,172,0.5168824474432616,0.3393896230581285,0.9281586229400034,1358082,159.0888249874115,22,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0
14,14,128,0.5169169166124511,0.2875342899860293,0.9281490408961114,1352450,150.66639924049377,21,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
116,13,120,0.5182140302639259,0.29092620149842796,0.9277879933461439,1351426,159.51710414886475,23,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
