weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.0005,2,2,8,8,0.0003,0.5,128,160,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3386996607280057,0.3963796567936741,0.6295868937594509,0.893413442244582,39,,0.44021254101263696,301.94436025619507,76
0.001,1,1,4,4,0.002,0.1,1024,160,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3844648632390868,0.4036447546757953,0.6353304295213597,0.8914598561769334,35,,0.47724605428036765,208.99737668037415,10
1e-06,1,2,8,8,0.002,0.15,512,64,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.433868883056629,0.4280484473922986,0.6542541153040603,0.884897699016262,31,,0.42808833602936036,232.63213300704956,47
0.001,3,2,2,2,0.001,0.5,512,192,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.37082287897707283,0.4395291159601149,0.6629699208562293,0.8818105452675737,34,,0.4760536825106901,206.21133422851562,63
1e-05,2,1,8,2,0.002,0.5,128,128,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.39268213458080886,0.4482152092407741,0.6694887670758742,0.8794748532933263,31,,0.5365713207080502,236.8198537826538,54
1e-05,2,2,8,8,0.0005,0.5,128,192,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3569459377232567,0.4584090551896613,0.6770591223738598,0.8767337263677675,44,4.757441725426119,0.5092156920646334,244.00212979316711,60
0.001,1,1,4,8,0.0003,0.5,512,160,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.37996102637477325,0.4753613404790037,0.6894645317048613,0.8721752539433884,36,6.559736681375609,0.5736356728958261,252.27741694450378,79
0.0005,1,1,4,8,0.002,0.4,512,128,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3917140110065771,0.48121905292683015,0.6936995408149195,0.8706001140606172,34,,0.5520250333245321,227.15109515190125,15
0.0001,1,1,8,4,0.002,0.3,1024,160,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.4511975979204027,0.48841035598277605,0.6988636175841293,0.8686663714343948,33,,0.5056549116801429,215.71635246276855,34
0.001,1,2,2,2,0.002,0.15,1024,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.5458547908624625,0.664720538656724,0.8153039547657818,0.8212565330474897,31,,0.6646985442049952,168.52637839317322,67
1e-05,3,4,2,8,0.001,0.4,512,256,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,1.310441835272518,2.6713488535239285,1.6344261541972243,0.28167383471647944,32,,2.6717352622090114,382.93110609054565,51
1e-06,2,4,4,4,0.002,0.1,1024,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,2.0840559417641615,5.057127660977177,2.24880582998559,-0.35986249615691257,31,1.6510075852070576,5.0553717381419405,343.9924590587616,27
1e-05,3,1,4,2,0.002,0.5,512,160,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,1.3525181086506395,5.124527211002242,2.263741860504912,-0.37798624672864056,30,,,199.69096493721008,87
0.0005,2,4,4,4,0.002,0.5,128,192,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,1.337066509934627,5.182665721874057,2.2765468854987496,-0.39361970228228493,30,,,255.5911762714386,80
